A,B,C
141.824068915,3.04049654093,18.82e44
151.780280831,2.57459144247,2.36e44
92.6146599874,1.64189105391,4.36e44
110.824485425,2.39495279961,1.88e44
112.537535475,2.83336884595,7.66e44
82.6536216174,1.61335301303,1.98e44
90.3900986776,1.86814391883,4.91e44
115.311502957,2.15309424862,6.85e44
120.670277704,2.9457682354,1.26e44
128.871745744,2.02260417871,2.14e44
133.232825294,3.0913725272,11.65e44
105.613103809,2.95366966168,2.19e44
119.352667488,1.60415472159,1.58e44
105.764053269,1.92724850887,9.96e44
137.818424572,2.19714193957,44.42e44
127.747533166,1.83914588841,4.89e44
94.4952133031,2.87186362529,4.04e44
163.973034104,1.56627670396,2.86e44
107.659455238,1.52580050274,2.73e44
106.402032356,1.66293612934,3.72e44
191.654030711,1.66908318041,6.02e44
122.684015571,1.93819920001,5.87e44
79.6808134385,2.35158228291,4.59e44
113.158142093,2.41531769618,12.33e44
124.083039063,1.58319904209,1.16e44
103.324195767,2.84989504094,1.88e44
93.0814581203,1.65242090797,3.83e44
141.672809217,2.86270267732,1.20e44
119.52573807,3.34389441551,12.25e44
127.089446451,1.92286312382,5.88e44
114.236083137,3.04772803094,4.20e44
130.414648061,1.60112018283,7.70e44
158.669322496,1.73263067964,2.26e44
119.799947351,1.57656340103,1.64e44
100.223296457,3.07292006231,3.97e44
163.474968388,1.99181904999,3.83e44
105.780301771,2.63057724479,
96.1410301619,1.89606026514,
115.708116109,2.63504141462,
114.448466236,1.59826552144,
147.676885812,2.34053781645,
110.270267168,1.66056794975,
95.7004521329,2.00128401504,
125.946150056,1.62080743583,
131.956183373,1.65759089005,
114.847625119,1.5002349743,
118.982831208,1.93420382893,
127.313709356,1.96640262865,
107.139994637,1.54606642104,
159.235245859,1.83876875317,
125.963944853,1.66743403542,
325.682353962,2.22319122972,
109.216010684,2.1073115731,
144.245696712,1.61711429805,
128.700878316,3.06703622296,
116.350057787,2.30296822985,
131.888559835,2.10132271024,
114.424177945,2.72468172394,
114.137993732,1.71283716935,
103.098445644,1.85309499856,
139.491236184,1.70976258731,
103.800253519,1.90247115192,
107.887504602,1.61912251218,
115.073453781,1.8134913777,
130.991654391,1.61026302518,
139.909863081,1.88431957827,
258.353909965,1.7157147366,
106.595740807,2.16887895568,
96.0485971941,2.43360817292,
119.202722678,1.81316369666,
103.00195261,1.82402660201,
110.483401471,2.17519268256,
99.5502639116,2.09875273522,
117.632896015,1.78895666816,
94.0190633796,1.67489456433,
117.162653009,1.5564080843,
95.3800941105,1.68862495461,
94.6143262933,2.08421108089,
79.8075016896,2.16890405764,
144.270284897,2.26905325533,
114.551376834,2.61918152273,
109.263898204,1.8134845386,
111.50977621,2.3504028973,
